loaded manhattan3500_1.5.g2o with 3500 vertices and 5598 measurements
graph is fixed by node 3499
# Using CHOLMOD poseDim -1 landMarkDim -1 blockordering 1
Preparing (no marginalization of Landmarks)
iteration= 40	 chi2= 0.105287	 time= 0.0158213	 cumTime= 0.468601	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 41	 chi2= 0.105286	 time= 0.00896556	 cumTime= 0.477566	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 42	 chi2= 0.105281	 time= 0.0158049	 cumTime= 0.493371	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 43	 chi2= 0.105280	 time= 0.00910216	 cumTime= 0.502473	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 44	 chi2= 0.105275	 time= 0.0158156	 cumTime= 0.518289	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 45	 chi2= 0.105272	 time= 0.0158062	 cumTime= 0.534095	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 46	 chi2= 0.105270	 time= 0.00909062	 cumTime= 0.543186	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 47	 chi2= 0.105267	 time= 0.015807	 cumTime= 0.558993	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 48	 chi2= 0.105266	 time= 0.00920303	 cumTime= 0.568196	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 49	 chi2= 0.105263	 time= 0.0160709	 cumTime= 0.584267	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 50	 chi2= 0.105262	 time= 0.0087432	 cumTime= 0.59301	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 51	 chi2= 0.105258	 time= 0.016043	 cumTime= 0.609053	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 52	 chi2= 0.105258	 time= 0.00891466	 cumTime= 0.617968	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 53	 chi2= 0.105253	 time= 0.0161035	 cumTime= 0.634071	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 54	 chi2= 0.105251	 time= 0.0160134	 cumTime= 0.650084	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 55	 chi2= 0.105250	 time= 0.00884584	 cumTime= 0.65893	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 56	 chi2= 0.105248	 time= 0.0161583	 cumTime= 0.675089	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 57	 chi2= 0.105247	 time= 0.00896036	 cumTime= 0.684049	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 58	 chi2= 0.105245	 time= 0.0156697	 cumTime= 0.699719	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 59	 chi2= 0.105245	 time= 0.00918247	 cumTime= 0.708901	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 60	 chi2= 0.105242	 time= 0.0156573	 cumTime= 0.724558	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 61	 chi2= 0.105242	 time= 0.00883731	 cumTime= 0.733396	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 62	 chi2= 0.105239	 time= 0.0159772	 cumTime= 0.749373	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 63	 chi2= 0.105238	 time= 0.0159691	 cumTime= 0.765342	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 64	 chi2= 0.105237	 time= 0.0094396	 cumTime= 0.774782	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 65	 chi2= 0.105236	 time= 0.0160646	 cumTime= 0.790846	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 66	 chi2= 0.105235	 time= 0.00931673	 cumTime= 0.800163	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 67	 chi2= 0.105234	 time= 0.0164942	 cumTime= 0.816657	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 68	 chi2= 0.105234	 time= 0.00897192	 cumTime= 0.825629	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 69	 chi2= 0.105232	 time= 0.0160074	 cumTime= 0.841636	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 70	 chi2= 0.105232	 time= 0.00881279	 cumTime= 0.850449	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 71	 chi2= 0.105231	 time= 0.0160528	 cumTime= 0.866502	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 72	 chi2= 0.105231	 time= 0.00881198	 cumTime= 0.875314	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 73	 chi2= 0.105230	 time= 0.0157384	 cumTime= 0.891052	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 74	 chi2= 0.105229	 time= 0.00914245	 cumTime= 0.900195	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 75	 chi2= 0.105228	 time= 0.0160263	 cumTime= 0.916221	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 76	 chi2= 0.105228	 time= 0.00875075	 cumTime= 0.924972	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 77	 chi2= 0.105227	 time= 0.0159641	 cumTime= 0.940936	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 78	 chi2= 0.105227	 time= 0.00875396	 cumTime= 0.94969	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 79	 chi2= 0.105227	 time= 0.0160899	 cumTime= 0.96578	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 80	 chi2= 0.105227	 time= 0.00935808	 cumTime= 0.975138	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 81	 chi2= 0.105226	 time= 0.0158501	 cumTime= 0.990988	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 82	 chi2= 0.105226	 time= 0.0090349	 cumTime= 1.00002	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 83	 chi2= 0.105226	 time= 0.0163047	 cumTime= 1.01633	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 84	 chi2= 0.105226	 time= 0.008756	 cumTime= 1.02508	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 85	 chi2= 0.105226	 time= 0.00922168	 cumTime= 1.03431	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 86	 chi2= 0.105226	 time= 0.00893912	 cumTime= 1.04324	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 87	 chi2= 0.105225	 time= 0.00919209	 cumTime= 1.05244	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 88	 chi2= 0.105225	 time= 0.00898503	 cumTime= 1.06142	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 89	 chi2= 0.105225	 time= 0.00921245	 cumTime= 1.07063	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 90	 chi2= 0.105225	 time= 0.00963091	 cumTime= 1.08026	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 91	 chi2= 0.105225	 time= 0.0088216	 cumTime= 1.08909	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 92	 chi2= 0.105225	 time= 0.00863212	 cumTime= 1.09772	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 93	 chi2= 0.105225	 time= 0.00916075	 cumTime= 1.10688	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 94	 chi2= 0.105225	 time= 0.00872502	 cumTime= 1.1156	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 95	 chi2= 0.105225	 time= 0.00949609	 cumTime= 1.1251	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 96	 chi2= 0.105225	 time= 0.0105582	 cumTime= 1.13566	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 97	 chi2= 0.105225	 time= 0.0132228	 cumTime= 1.14888	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 98	 chi2= 0.105225	 time= 0.00902642	 cumTime= 1.15791	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 99	 chi2= 0.105225	 time= 0.00881813	 cumTime= 1.16673	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
