loaded manhattan3500_2.g2o with 3500 vertices and 5598 measurements
graph is fixed by node 3499
# Using CHOLMOD poseDim -1 landMarkDim -1 blockordering 1
Preparing (no marginalization of Landmarks)
iteration= 0	 chi2= 17.093358	 time= 0.0139412	 cumTime= 0.0139412	 edges= 5598	 schur= 0	 lambda= 0.000001	 levenbergIter= 1
iteration= 1	 chi2= 4.587232	 time= 0.00907613	 cumTime= 0.0230174	 edges= 5598	 schur= 0	 lambda= 0.000001	 levenbergIter= 1
iteration= 2	 chi2= 1.347081	 time= 0.00901743	 cumTime= 0.0320348	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 3	 chi2= 0.764929	 time= 0.00970802	 cumTime= 0.0417428	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 4	 chi2= 0.675384	 time= 0.0092016	 cumTime= 0.0509444	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 5	 chi2= 0.647991	 time= 0.00919084	 cumTime= 0.0601353	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 6	 chi2= 0.635152	 time= 0.00905285	 cumTime= 0.0691881	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 7	 chi2= 0.617294	 time= 0.00896523	 cumTime= 0.0781533	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 8	 chi2= 0.612946	 time= 0.00879595	 cumTime= 0.0869493	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 9	 chi2= 0.605487	 time= 0.00872368	 cumTime= 0.095673	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 10	 chi2= 0.604025	 time= 0.0369176	 cumTime= 0.132591	 edges= 5598	 schur= 0	 lambda= 0.000013	 levenbergIter= 5
iteration= 11	 chi2= 0.603463	 time= 0.0161691	 cumTime= 0.14876	 edges= 5598	 schur= 0	 lambda= 0.000018	 levenbergIter= 2
iteration= 12	 chi2= 0.603302	 time= 0.0166034	 cumTime= 0.165363	 edges= 5598	 schur= 0	 lambda= 0.000024	 levenbergIter= 2
iteration= 13	 chi2= 0.603154	 time= 0.00958795	 cumTime= 0.174951	 edges= 5598	 schur= 0	 lambda= 0.000016	 levenbergIter= 1
iteration= 14	 chi2= 0.599875	 time= 0.024289	 cumTime= 0.19924	 edges= 5598	 schur= 0	 lambda= 0.000084	 levenbergIter= 3
iteration= 15	 chi2= 0.598834	 time= 0.00912926	 cumTime= 0.208369	 edges= 5598	 schur= 0	 lambda= 0.000056	 levenbergIter= 1
iteration= 16	 chi2= 0.598744	 time= 0.0090653	 cumTime= 0.217435	 edges= 5598	 schur= 0	 lambda= 0.000037	 levenbergIter= 1
iteration= 17	 chi2= 0.598601	 time= 0.00899266	 cumTime= 0.226427	 edges= 5598	 schur= 0	 lambda= 0.000025	 levenbergIter= 1
iteration= 18	 chi2= 0.598551	 time= 0.0164124	 cumTime= 0.24284	 edges= 5598	 schur= 0	 lambda= 0.000033	 levenbergIter= 2
iteration= 19	 chi2= 0.598157	 time= 0.00915877	 cumTime= 0.251998	 edges= 5598	 schur= 0	 lambda= 0.000022	 levenbergIter= 1
iteration= 20	 chi2= 0.597952	 time= 0.00941521	 cumTime= 0.261414	 edges= 5598	 schur= 0	 lambda= 0.000015	 levenbergIter= 1
iteration= 21	 chi2= 0.597016	 time= 0.0100284	 cumTime= 0.271442	 edges= 5598	 schur= 0	 lambda= 0.000010	 levenbergIter= 1
iteration= 22	 chi2= 0.596360	 time= 0.0092444	 cumTime= 0.280686	 edges= 5598	 schur= 0	 lambda= 0.000007	 levenbergIter= 1
iteration= 23	 chi2= 0.595384	 time= 0.00894521	 cumTime= 0.289632	 edges= 5598	 schur= 0	 lambda= 0.000004	 levenbergIter= 1
iteration= 24	 chi2= 0.587214	 time= 0.00906301	 cumTime= 0.298695	 edges= 5598	 schur= 0	 lambda= 0.000003	 levenbergIter= 1
iteration= 25	 chi2= 0.585976	 time= 0.00888391	 cumTime= 0.307578	 edges= 5598	 schur= 0	 lambda= 0.000002	 levenbergIter= 1
iteration= 26	 chi2= 0.585806	 time= 0.00913124	 cumTime= 0.31671	 edges= 5598	 schur= 0	 lambda= 0.000001	 levenbergIter= 1
iteration= 27	 chi2= 0.585753	 time= 0.0090123	 cumTime= 0.325722	 edges= 5598	 schur= 0	 lambda= 0.000001	 levenbergIter= 1
iteration= 28	 chi2= 0.585722	 time= 0.00908463	 cumTime= 0.334807	 edges= 5598	 schur= 0	 lambda= 0.000001	 levenbergIter= 1
iteration= 29	 chi2= 0.585579	 time= 0.00894736	 cumTime= 0.343754	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 30	 chi2= 0.576064	 time= 0.00920483	 cumTime= 0.352959	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 31	 chi2= 0.574703	 time= 0.0089522	 cumTime= 0.361911	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 32	 chi2= 0.574564	 time= 0.00899793	 cumTime= 0.370909	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 33	 chi2= 0.574458	 time= 0.00901914	 cumTime= 0.379928	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 34	 chi2= 0.574340	 time= 0.00902831	 cumTime= 0.388956	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 35	 chi2= 0.574205	 time= 0.00896445	 cumTime= 0.397921	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 36	 chi2= 0.574053	 time= 0.00892231	 cumTime= 0.406843	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 37	 chi2= 0.573899	 time= 0.00883539	 cumTime= 0.415679	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 38	 chi2= 0.573760	 time= 0.00968073	 cumTime= 0.425359	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 39	 chi2= 0.573654	 time= 0.00929241	 cumTime= 0.434652	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 40	 chi2= 0.573577	 time= 0.00893301	 cumTime= 0.443585	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 41	 chi2= 0.573491	 time= 0.00914983	 cumTime= 0.452735	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 42	 chi2= 0.573367	 time= 0.00929405	 cumTime= 0.462029	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 43	 chi2= 0.573249	 time= 0.00906748	 cumTime= 0.471096	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 44	 chi2= 0.573187	 time= 0.00874307	 cumTime= 0.479839	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 45	 chi2= 0.573162	 time= 0.00875649	 cumTime= 0.488596	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 46	 chi2= 0.573150	 time= 0.0089235	 cumTime= 0.497519	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 47	 chi2= 0.573139	 time= 0.00900121	 cumTime= 0.50652	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 48	 chi2= 0.573130	 time= 0.00939911	 cumTime= 0.515919	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 49	 chi2= 0.573122	 time= 0.00895712	 cumTime= 0.524877	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 50	 chi2= 0.573117	 time= 0.0088321	 cumTime= 0.533709	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 51	 chi2= 0.573113	 time= 0.0163913	 cumTime= 0.5501	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 52	 chi2= 0.573112	 time= 0.015617	 cumTime= 0.565717	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 53	 chi2= 0.573112	 time= 0.00879248	 cumTime= 0.574509	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 54	 chi2= 0.573111	 time= 0.0160158	 cumTime= 0.590525	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 55	 chi2= 0.573111	 time= 0.00889272	 cumTime= 0.599418	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 56	 chi2= 0.573110	 time= 0.0158737	 cumTime= 0.615292	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 57	 chi2= 0.573110	 time= 0.00867791	 cumTime= 0.62397	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 58	 chi2= 0.573109	 time= 0.0158501	 cumTime= 0.63982	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 59	 chi2= 0.573109	 time= 0.00910673	 cumTime= 0.648926	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 60	 chi2= 0.573109	 time= 0.0158968	 cumTime= 0.664823	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 61	 chi2= 0.573109	 time= 0.00899426	 cumTime= 0.673817	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 62	 chi2= 0.573108	 time= 0.0158561	 cumTime= 0.689674	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 63	 chi2= 0.573108	 time= 0.00886896	 cumTime= 0.698543	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 64	 chi2= 0.573108	 time= 0.00891273	 cumTime= 0.707455	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 65	 chi2= 0.573108	 time= 0.0090258	 cumTime= 0.716481	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 66	 chi2= 0.573108	 time= 0.00899151	 cumTime= 0.725473	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 67	 chi2= 0.573108	 time= 0.0087563	 cumTime= 0.734229	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 68	 chi2= 0.573108	 time= 0.00880342	 cumTime= 0.743032	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 69	 chi2= 0.573108	 time= 0.00873208	 cumTime= 0.751764	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 70	 chi2= 0.573108	 time= 0.00889202	 cumTime= 0.760656	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 71	 chi2= 0.573108	 time= 0.00911445	 cumTime= 0.769771	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 72	 chi2= 0.573108	 time= 0.00926056	 cumTime= 0.779031	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 73	 chi2= 0.573108	 time= 0.00894338	 cumTime= 0.787975	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 74	 chi2= 0.573108	 time= 0.00896706	 cumTime= 0.796942	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 75	 chi2= 0.573108	 time= 0.00937482	 cumTime= 0.806317	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 76	 chi2= 0.573108	 time= 0.00922404	 cumTime= 0.815541	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 77	 chi2= 0.573108	 time= 0.00905737	 cumTime= 0.824598	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 78	 chi2= 0.573108	 time= 0.00935674	 cumTime= 0.833955	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
