loaded manhattan3500_Olson.g2o with 3500 vertices and 5598 measurements
graph is fixed by node 3499
# Using CHOLMOD poseDim -1 landMarkDim -1 blockordering 1
Preparing (no marginalization of Landmarks)
iteration= 56	 chi2= 146.076745	 time= 0.00907378	 cumTime= 0.48761	 edges= 5598	 schur= 0
iteration= 57	 chi2= 146.076745	 time= 0.00813102	 cumTime= 0.495741	 edges= 5598	 schur= 0
iteration= 58	 chi2= 146.076745	 time= 0.00798474	 cumTime= 0.503726	 edges= 5598	 schur= 0
iteration= 59	 chi2= 146.076745	 time= 0.00910436	 cumTime= 0.51283	 edges= 5598	 schur= 0
iteration= 60	 chi2= 146.076745	 time= 0.00914924	 cumTime= 0.521979	 edges= 5598	 schur= 0
iteration= 61	 chi2= 146.076745	 time= 0.00836554	 cumTime= 0.530345	 edges= 5598	 schur= 0
iteration= 62	 chi2= 146.076745	 time= 0.00784115	 cumTime= 0.538186	 edges= 5598	 schur= 0
iteration= 63	 chi2= 146.076745	 time= 0.00789729	 cumTime= 0.546083	 edges= 5598	 schur= 0
iteration= 64	 chi2= 146.076745	 time= 0.00807212	 cumTime= 0.554155	 edges= 5598	 schur= 0
iteration= 65	 chi2= 146.076745	 time= 0.00907702	 cumTime= 0.563233	 edges= 5598	 schur= 0
iteration= 66	 chi2= 146.076745	 time= 0.00816633	 cumTime= 0.571399	 edges= 5598	 schur= 0
iteration= 67	 chi2= 146.076745	 time= 0.0082432	 cumTime= 0.579642	 edges= 5598	 schur= 0
iteration= 68	 chi2= 146.076745	 time= 0.00943158	 cumTime= 0.589074	 edges= 5598	 schur= 0
iteration= 69	 chi2= 146.076745	 time= 0.00814329	 cumTime= 0.597217	 edges= 5598	 schur= 0
iteration= 70	 chi2= 146.076745	 time= 0.0108723	 cumTime= 0.608089	 edges= 5598	 schur= 0
iteration= 71	 chi2= 146.076745	 time= 0.0106618	 cumTime= 0.618751	 edges= 5598	 schur= 0
iteration= 72	 chi2= 146.076745	 time= 0.00786225	 cumTime= 0.626613	 edges= 5598	 schur= 0
