loaded manhattan3500_Olson.g2o with 3500 vertices and 5598 measurements
graph is fixed by node 3499
# Using CHOLMOD poseDim -1 landMarkDim -1 blockordering 1
Preparing (no marginalization of Landmarks)
iteration= 40	 chi2= 381.509470	 time= 0.0238955	 cumTime= 0.606207	 edges= 5598	 schur= 0	 lambda= 2.175108	 levenbergIter= 3
iteration= 41	 chi2= 381.333100	 time= 0.0102527	 cumTime= 0.616459	 edges= 5598	 schur= 0	 lambda= 0.725036	 levenbergIter= 1
iteration= 42	 chi2= 380.977041	 time= 0.0101163	 cumTime= 0.626576	 edges= 5598	 schur= 0	 lambda= 0.241679	 levenbergIter= 1
iteration= 43	 chi2= 380.077781	 time= 0.0103952	 cumTime= 0.636971	 edges= 5598	 schur= 0	 lambda= 0.080560	 levenbergIter= 1
iteration= 44	 chi2= 378.296320	 time= 0.00927028	 cumTime= 0.646241	 edges= 5598	 schur= 0	 lambda= 0.053706	 levenbergIter= 1
iteration= 45	 chi2= 377.765161	 time= 0.0326657	 cumTime= 0.678907	 edges= 5598	 schur= 0	 lambda= 2.291472	 levenbergIter= 4
iteration= 46	 chi2= 377.601916	 time= 0.00960291	 cumTime= 0.68851	 edges= 5598	 schur= 0	 lambda= 0.901765	 levenbergIter= 1
iteration= 47	 chi2= 377.344647	 time= 0.00958245	 cumTime= 0.698092	 edges= 5598	 schur= 0	 lambda= 0.300588	 levenbergIter= 1
iteration= 48	 chi2= 376.701265	 time= 0.00912015	 cumTime= 0.707212	 edges= 5598	 schur= 0	 lambda= 0.100196	 levenbergIter= 1
iteration= 49	 chi2= 375.119483	 time= 0.00900256	 cumTime= 0.716215	 edges= 5598	 schur= 0	 lambda= 0.033399	 levenbergIter= 1
iteration= 50	 chi2= 374.927328	 time= 0.0314919	 cumTime= 0.747707	 edges= 5598	 schur= 0	 lambda= 1.425012	 levenbergIter= 4
iteration= 51	 chi2= 374.769320	 time= 0.0112337	 cumTime= 0.758941	 edges= 5598	 schur= 0	 lambda= 0.475004	 levenbergIter= 1
iteration= 52	 chi2= 374.402523	 time= 0.00905024	 cumTime= 0.767991	 edges= 5598	 schur= 0	 lambda= 0.166774	 levenbergIter= 1
iteration= 53	 chi2= 374.009822	 time= 0.00950433	 cumTime= 0.777495	 edges= 5598	 schur= 0	 lambda= 0.111183	 levenbergIter= 1
iteration= 54	 chi2= 373.576497	 time= 0.0320888	 cumTime= 0.809584	 edges= 5598	 schur= 0	 lambda= 4.743805	 levenbergIter= 4
iteration= 55	 chi2= 373.375132	 time= 0.00952233	 cumTime= 0.819106	 edges= 5598	 schur= 0	 lambda= 3.162537	 levenbergIter= 1
iteration= 56	 chi2= 373.262881	 time= 0.0111384	 cumTime= 0.830245	 edges= 5598	 schur= 0	 lambda= 1.546945	 levenbergIter= 1
iteration= 57	 chi2= 373.121168	 time= 0.0112189	 cumTime= 0.841464	 edges= 5598	 schur= 0	 lambda= 0.515648	 levenbergIter= 1
