loaded manhattan3500_1.g2o with 3500 vertices and 5598 measurements
graph is fixed by node 3499
# Using CHOLMOD poseDim -1 landMarkDim -1 blockordering 1
Preparing (no marginalization of Landmarks)
iteration= 0	 chi2= 2.819187	 time= 0.0122062	 cumTime= 0.0122062	 edges= 5598	 schur= 0
iteration= 1	 chi2= 0.276669	 time= 0.00798051	 cumTime= 0.0201867	 edges= 5598	 schur= 0
iteration= 2	 chi2= 0.016066	 time= 0.00810617	 cumTime= 0.0282928	 edges= 5598	 schur= 0
iteration= 3	 chi2= 0.000018	 time= 0.00782797	 cumTime= 0.0361208	 edges= 5598	 schur= 0
iteration= 4	 chi2= 0.000000	 time= 0.00782024	 cumTime= 0.043941	 edges= 5598	 schur= 0
iteration= 5	 chi2= 0.000000	 time= 0.00782423	 cumTime= 0.0517653	 edges= 5598	 schur= 0
iteration= 6	 chi2= 0.000000	 time= 0.00793458	 cumTime= 0.0596998	 edges= 5598	 schur= 0
iteration= 7	 chi2= 0.000000	 time= 0.0079166	 cumTime= 0.0676164	 edges= 5598	 schur= 0
iteration= 8	 chi2= 0.000000	 time= 0.00803313	 cumTime= 0.0756496	 edges= 5598	 schur= 0
iteration= 9	 chi2= 0.000000	 time= 0.00772658	 cumTime= 0.0833761	 edges= 5598	 schur= 0
iteration= 10	 chi2= 0.000000	 time= 0.00778451	 cumTime= 0.0911607	 edges= 5598	 schur= 0
iteration= 11	 chi2= 0.000000	 time= 0.00770557	 cumTime= 0.0988662	 edges= 5598	 schur= 0
iteration= 12	 chi2= 0.000000	 time= 0.00779112	 cumTime= 0.106657	 edges= 5598	 schur= 0
iteration= 13	 chi2= 0.000000	 time= 0.00782035	 cumTime= 0.114478	 edges= 5598	 schur= 0
iteration= 14	 chi2= 0.000000	 time= 0.00771511	 cumTime= 0.122193	 edges= 5598	 schur= 0
iteration= 15	 chi2= 0.000000	 time= 0.00793769	 cumTime= 0.130131	 edges= 5598	 schur= 0
iteration= 16	 chi2= 0.000000	 time= 0.00782118	 cumTime= 0.137952	 edges= 5598	 schur= 0
iteration= 17	 chi2= 0.000000	 time= 0.00800072	 cumTime= 0.145952	 edges= 5598	 schur= 0
iteration= 18	 chi2= 0.000000	 time= 0.00796429	 cumTime= 0.153917	 edges= 5598	 schur= 0
iteration= 19	 chi2= 0.000000	 time= 0.00808347	 cumTime= 0.162	 edges= 5598	 schur= 0
iteration= 20	 chi2= 0.000000	 time= 0.00812003	 cumTime= 0.17012	 edges= 5598	 schur= 0
iteration= 21	 chi2= 0.000000	 time= 0.00780392	 cumTime= 0.177924	 edges= 5598	 schur= 0
iteration= 22	 chi2= 0.000000	 time= 0.00785985	 cumTime= 0.185784	 edges= 5598	 schur= 0
iteration= 23	 chi2= 0.000000	 time= 0.00790489	 cumTime= 0.193689	 edges= 5598	 schur= 0
iteration= 24	 chi2= 0.000000	 time= 0.00809615	 cumTime= 0.201785	 edges= 5598	 schur= 0
iteration= 25	 chi2= 0.000000	 time= 0.00787649	 cumTime= 0.209661	 edges= 5598	 schur= 0
iteration= 26	 chi2= 0.000000	 time= 0.00787259	 cumTime= 0.217534	 edges= 5598	 schur= 0
iteration= 27	 chi2= 0.000000	 time= 0.00786068	 cumTime= 0.225395	 edges= 5598	 schur= 0
iteration= 28	 chi2= 0.000000	 time= 0.0079124	 cumTime= 0.233307	 edges= 5598	 schur= 0
iteration= 29	 chi2= 0.000000	 time= 0.00787799	 cumTime= 0.241185	 edges= 5598	 schur= 0
iteration= 30	 chi2= 0.000000	 time= 0.0078748	 cumTime= 0.24906	 edges= 5598	 schur= 0
iteration= 31	 chi2= 0.000000	 time= 0.00805787	 cumTime= 0.257118	 edges= 5598	 schur= 0
iteration= 32	 chi2= 0.000000	 time= 0.00812735	 cumTime= 0.265245	 edges= 5598	 schur= 0
iteration= 33	 chi2= 0.000000	 time= 0.00787272	 cumTime= 0.273118	 edges= 5598	 schur= 0
iteration= 34	 chi2= 0.000000	 time= 0.00785169	 cumTime= 0.28097	 edges= 5598	 schur= 0
iteration= 35	 chi2= 0.000000	 time= 0.00794897	 cumTime= 0.288919	 edges= 5598	 schur= 0
iteration= 36	 chi2= 0.000000	 time= 0.00783339	 cumTime= 0.296752	 edges= 5598	 schur= 0
iteration= 37	 chi2= 0.000000	 time= 0.00790642	 cumTime= 0.304658	 edges= 5598	 schur= 0
iteration= 38	 chi2= 0.000000	 time= 0.00784479	 cumTime= 0.312503	 edges= 5598	 schur= 0
iteration= 39	 chi2= 0.000000	 time= 0.00810797	 cumTime= 0.320611	 edges= 5598	 schur= 0
iteration= 40	 chi2= 0.000000	 time= 0.00785271	 cumTime= 0.328464	 edges= 5598	 schur= 0
iteration= 41	 chi2= 0.000000	 time= 0.00793568	 cumTime= 0.3364	 edges= 5598	 schur= 0
iteration= 42	 chi2= 0.000000	 time= 0.00833712	 cumTime= 0.344737	 edges= 5598	 schur= 0
iteration= 43	 chi2= 0.000000	 time= 0.00848614	 cumTime= 0.353223	 edges= 5598	 schur= 0
iteration= 44	 chi2= 0.000000	 time= 0.00793937	 cumTime= 0.361162	 edges= 5598	 schur= 0
iteration= 45	 chi2= 0.000000	 time= 0.00786253	 cumTime= 0.369025	 edges= 5598	 schur= 0
iteration= 46	 chi2= 0.000000	 time= 0.00801988	 cumTime= 0.377045	 edges= 5598	 schur= 0
